epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,3456.11,0.88275,0.96878,1.32658,0.58879,0.30707,0.36847,0.26282,1.23011,1.12869,1.6421,0.004456,0.004456,0.004456
44,3535.67,0.87419,0.9706,1.3256,0.40703,0.34798,0.3714,0.26923,1.21741,1.11499,1.63538,0.004324,0.004324,0.004324
45,3615.92,0.87538,0.94575,1.32224,0.40388,0.41563,0.3823,0.27322,1.20289,1.10976,1.6239,0.004192,0.004192,0.004192
46,3695.9,0.87355,0.93014,1.31435,0.40523,0.40025,0.37924,0.27409,1.20404,1.10664,1.63446,0.00406,0.00406,0.00406
47,3775.53,0.86835,0.91983,1.31229,0.41007,0.3783,0.37403,0.27178,1.19419,1.08625,1.61042,0.003928,0.003928,0.003928
48,3855.37,0.86575,0.9057,1.30902,0.35981,0.37223,0.36009,0.26031,1.21227,1.12184,1.63078,0.003796,0.003796,0.003796
49,3935.38,0.85502,0.8933,1.30963,0.49374,0.34576,0.35892,0.25878,1.209,1.11876,1.62773,0.003664,0.003664,0.003664
50,4015.39,0.85659,0.8922,1.30686,0.4897,0.33403,0.36334,0.25792,1.21424,1.12371,1.6338,0.003532,0.003532,0.003532
51,4094.84,0.84722,0.87554,1.29831,0.35576,0.4088,0.37057,0.26536,1.20046,1.10747,1.62086,0.0034,0.0034,0.0034
52,4174.8,0.84493,0.86937,1.29709,0.33034,0.3876,0.38163,0.272,1.20461,1.10827,1.62436,0.003268,0.003268,0.003268
53,4254.58,0.84505,0.85715,1.299,0.42917,0.39809,0.36556,0.26195,1.19635,1.09669,1.61334,0.003136,0.003136,0.003136
54,4334.52,0.83895,0.84731,1.29208,0.43289,0.39742,0.37228,0.26675,1.19999,1.10628,1.61877,0.003004,0.003004,0.003004
55,4414.2,0.83961,0.84117,1.28896,0.3684,0.40104,0.36055,0.25791,1.20732,1.12629,1.62449,0.002872,0.002872,0.002872
56,4493.54,0.82704,0.83432,1.281,0.42937,0.40766,0.38053,0.27613,1.20752,1.1281,1.63401,0.00274,0.00274,0.00274
57,4573.31,0.83409,0.83099,1.28368,0.46144,0.40086,0.38336,0.27884,1.2031,1.12435,1.62772,0.002608,0.002608,0.002608
58,4653.3,0.81908,0.81011,1.27512,0.46749,0.36414,0.3766,0.27026,1.21721,1.12084,1.63997,0.002476,0.002476,0.002476
59,4733.3,0.82612,0.79817,1.27744,0.46503,0.37968,0.38795,0.27612,1.20831,1.11365,1.63421,0.002344,0.002344,0.002344
60,4812.74,0.81493,0.79523,1.27047,0.49169,0.39861,0.38729,0.27717,1.21533,1.10984,1.63927,0.002212,0.002212,0.002212
61,4892.54,0.80795,0.78033,1.2658,0.53392,0.38743,0.38862,0.27967,1.21587,1.11171,1.63717,0.00208,0.00208,0.00208
62,4972.26,0.80884,0.77764,1.26744,0.51151,0.37579,0.38474,0.27778,1.21695,1.11617,1.63589,0.001948,0.001948,0.001948
63,5052.31,0.80744,0.76605,1.26325,0.47863,0.39586,0.38936,0.28168,1.2124,1.10924,1.63043,0.001816,0.001816,0.001816
64,5131.93,0.80416,0.76768,1.26425,0.48472,0.38986,0.39497,0.28453,1.2124,1.10925,1.633,0.001684,0.001684,0.001684
65,5211.43,0.79499,0.74591,1.25428,0.40364,0.40672,0.38866,0.28146,1.21215,1.11688,1.63516,0.001552,0.001552,0.001552
66,5311.05,0.77237,0.56489,1.31078,0.50184,0.37809,0.38794,0.28091,1.21741,1.11749,1.64755,0.00142,0.00142,0.00142
67,5390.56,0.75948,0.53342,1.29576,0.52116,0.36227,0.38591,0.28091,1.22018,1.11808,1.65218,0.001288,0.001288,0.001288
68,5469.99,0.74673,0.51241,1.28173,0.52734,0.36106,0.40069,0.29176,1.22216,1.12048,1.65684,0.001156,0.001156,0.001156
69,5549.19,0.73909,0.49868,1.27631,0.53173,0.35324,0.40066,0.29014,1.2203,1.12275,1.65596,0.001024,0.001024,0.001024
70,5628.63,0.72846,0.48376,1.26861,0.52356,0.35143,0.39798,0.28814,1.22325,1.12924,1.66069,0.000892,0.000892,0.000892
71,5708.38,0.72214,0.47614,1.25991,0.5326,0.34329,0.39271,0.28438,1.22258,1.14187,1.66076,0.00076,0.00076,0.00076
72,5788.3,0.72014,0.47108,1.25912,0.50565,0.34195,0.39636,0.28731,1.2229,1.14557,1.66112,0.000628,0.000628,0.000628
73,5867.41,0.71055,0.45776,1.24731,0.54467,0.34369,0.39304,0.2848,1.22169,1.14938,1.66176,0.000496,0.000496,0.000496
74,5946.78,0.69969,0.44805,1.2399,0.50922,0.34743,0.38901,0.28303,1.21856,1.15485,1.66061,0.000364,0.000364,0.000364
75,6026.31,0.69853,0.44541,1.2379,0.51212,0.34757,0.38707,0.28164,1.21601,1.15357,1.65834,0.000232,0.000232,0.000232
